text,text_pair,label_traceability_gap,label_validation_gap,label_design_inconsistency,label_environmental_dependency,label_serviceability_impact,label_operational_risk
DEMO-REQ-20420-0: route-planning module shall recalculate a haul segment after a temporary lane restriction during revised virtual lane boundary. Acceptance DEMO-REQ-20420-0: path refresh time and route acceptance.,DEMO-EVID-30420 report: earlier review ID is named; cross-reference added for DEMO-REQ-20420-0. Run content appears to use the same operating case as the current record for DEMO-REQ-20420-0.,1,1,0,0,0,0
DEMO-REQ-20464-0: GNSS-denied localization module must maintain pose quality without satellite reference for covered crusher approach. Acceptance DEMO-REQ-20464-0: pose covariance and route deviation.,DEMO-EVID-30464 campaign: shortened profile for maintain pose quality without satellite reference in covered crusher approach against DEMO-REQ-20464-0. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20464-0.,0,1,0,1,0,1
DEMO-REQ-20427-1: radar sensor package shall acknowledge the close-range obstacle state during scheduled commissioning route. Acceptance DEMO-REQ-20427-1: checks dashboard agreement with the controller log.,DEMO-EVID-30427 FAT record: scheduled commissioning route run captured the close-range obstacle state on the commissioning tablet for DEMO-REQ-20427-1. The station and vehicle traces ended with the same accepted status for DEMO-REQ-20427-1. Mud spray was noted in the logbook but did not enter this requested checkout for DEMO-REQ-20427-1.,0,0,0,0,0,0
DEMO-REQ-20269-3: lidar unit shall store the scan availability flag during normal charging stop. Acceptance DEMO-REQ-20269-3: checks station log alignment with the vehicle event stream.,DEMO-EVID-30269 field support note: normal charging stop run captured the scan availability flag on the diagnostic recorder for DEMO-REQ-20269-3. The replayed vehicle log followed the acceptance sequence without manual correction for DEMO-REQ-20269-3. Service-panel removal was not exercised because no access task is required by the item for DEMO-REQ-20269-3.,0,0,0,0,0,0
Customer constraint DEMO-REQ-20490-2: GNSS-denied localization module shall allow workshop technicians to service the localization reference unit during scheduled overhaul under planned workshop maintenance. Evidence DEMO-REQ-20490-2: safe isolation and documented work sequence.,DEMO-EVID-30490 service note: function confirmed at the machine; technicians still need physical access to the localization reference unit for DEMO-REQ-20490-2. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20490-2.,0,0,0,0,1,0
DEMO-REQ-20057-0: software update manager shall roll back an autonomous-control package after unsuccessful deployment during interrupted over-the-air update. Acceptance DEMO-REQ-20057-0: rollback completion and restart state.,DEMO-EVID-30057 vehicle record: right subsystem is named; sensitivity appears after cold soak for DEMO-REQ-20057-0. Result supports a bounded claim; weak for an unconditional release statement for DEMO-REQ-20057-0.,0,1,1,1,0,1
Customer constraint DEMO-REQ-20250-0: lidar and radar fusion unit shall allow field technicians to inspect or replace the radar bracket assembly without unnecessary disassembly under planned customer-site service. Evidence DEMO-REQ-20250-0: access time and diagnostic confidence.,DEMO-EVID-30250 archive: old revision wording is present with a mapping note for DEMO-REQ-20250-0. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20250-0.,0,0,0,0,1,1
Release item DEMO-REQ-20020-0: autonomous haulage controller shall hold route accuracy through a loading-zone transition when dust at the loading berm is active. Review DEMO-REQ-20020-0: checks route deviation and command continuity.,DEMO-EVID-30020 archive: old revision wording is present with a mapping note for DEMO-REQ-20020-0. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20020-0.,1,1,0,0,0,0
Customer constraint DEMO-REQ-20416-0: charging station handshake module shall allow workshop technicians to service the station communication gateway during scheduled overhaul under planned workshop maintenance. Evidence DEMO-REQ-20416-0: safe isolation and documented work sequence.,DEMO-EVID-30416 service note: function confirmed at the machine; technicians still need physical access to the station communication gateway for DEMO-REQ-20416-0. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20416-0.,0,0,0,0,1,1
DEMO-REQ-20332-0: battery thermal management system must complete two uphill loaded cycles without thermal power reduction for high ambient temperature with full payload. Acceptance DEMO-REQ-20332-0: coolant temperature and derating state.,DEMO-EVID-30332 package: used the battery thermal management system setup for short dwell time between haul and charge and recorded stable preconditioning duration and charger-ready state against DEMO-REQ-20332-0. Open item: high ambient temperature with full payload and the related complete two uphill loaded cycles without thermal power reduction sequence for a later campaign for DEMO-REQ-20332-0.,1,1,0,1,0,0
DEMO-REQ-20289-1: camera cleaning system shall retain the wash command acknowledgement during standard vibration profile. Acceptance DEMO-REQ-20289-1: checks that the reviewed case stays within the documented release envelope.,DEMO-EVID-30289 engineering sign-off note: standard vibration profile run captured the wash command acknowledgement on the maintenance display for DEMO-REQ-20289-1. Timestamps aligned with the controller log at each review point for DEMO-REQ-20289-1. A longer endurance run is planned elsewhere and is not needed for this acceptance line for DEMO-REQ-20289-1.,0,0,0,0,0,0
Verification item DEMO-REQ-20426-3: megawatt charging interface must complete a normal charging handshake at depot temperature in nominal depot temperature. Review DEMO-REQ-20426-3: handshake sequence and isolation confirmation.,Service trial DEMO-EVID-30426 completed safely with the charging connector latch for DEMO-REQ-20426-3. It required a guarded access step and the diagnostic wording did not separate configuration error from hardware replacement for DEMO-REQ-20426-3.,1,0,0,0,0,0
Customer constraint DEMO-REQ-20005-0: safe-stop controller shall prevent recurrence of the observed restriction in the safe-stop controller under personnel-zone warning input. Evidence DEMO-REQ-20005-0: stop distance and brake-command agreement.,Commissioning note DEMO-EVID-30005 shows the safe-stop controller entered a restricted state during single-channel perception degradation for DEMO-REQ-20005-0. Event log is complete enough for diagnosis but the behaviour remains undesirable for production flow for DEMO-REQ-20005-0.,0,0,1,1,0,0
Customer constraint DEMO-REQ-20463-1: lidar and radar fusion unit shall allow remote product support to classify faults involving the radar bracket assembly before dispatching parts under customer-site troubleshooting. Evidence DEMO-REQ-20463-1: fault context completeness and remote retrieval time.,Design note DEMO-EVID-30463 shows that the lidar and radar fusion unit chooses a manual confirmation step before autonomous release when corrugated haul-road vibration is detected for DEMO-REQ-20463-1. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20463-1.,0,0,1,0,1,0
DEMO-REQ-20402-1: electric wheel drive shall maintain propulsion availability after a temperature warning during continued loaded haul at reduced torque. Acceptance DEMO-REQ-20402-1: available torque and fault escalation.,Assessment DEMO-EVID-30402 reports stable behaviour first and reduced margin after repeated load cycles for DEMO-REQ-20402-1. Reviewers noted that the finding matters only when the requirement relies on that operating condition for DEMO-REQ-20402-1.,0,0,0,1,0,1
Customer constraint DEMO-REQ-20217-0: software update manager shall enter a protective state when software update manager confidence is outside the release band under mixed-module software staging. Evidence DEMO-REQ-20217-0: protective-state timing and restart permission.,Design note DEMO-EVID-30217 shows that the software update manager chooses a controlled full stop before restart authorization when mixed-module software staging is detected for DEMO-REQ-20217-0. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20217-0.,0,0,0,0,1,0
DEMO-REQ-20018-1: GNSS-denied localization module shall synchronize the localization quality value during standard payload class. Acceptance DEMO-REQ-20018-1: checks state transition order and timestamp continuity.,DEMO-EVID-30018 QA review: standard payload class run captured the localization quality value on the fleet monitor for DEMO-REQ-20018-1. The checked signal stayed within the agreed tolerance for the whole requested window for DEMO-REQ-20018-1. The charger-side alarm list was copied for information only and did not change the pass decision for DEMO-REQ-20018-1.,0,0,0,0,0,0
DEMO-REQ-20218-1: payload estimation system must retain the event log for the observed restriction in the payload estimation system for rough-road suspension movement. Acceptance DEMO-REQ-20218-1: overload message persistence and event filtering.,Pilot log DEMO-EVID-30218 records a restricted machine state during rough-road suspension movement for DEMO-REQ-20218-1. Event was captured with timestamps and recovery messages but the same note does not show that the recurrence mechanism has been removed for DEMO-REQ-20218-1.,1,0,0,0,0,1
Verification item DEMO-REQ-20443-1: lidar and radar fusion unit must reject false berm reflections during autonomous reversing in low-speed reverse alignment. Review DEMO-REQ-20443-1: false-positive rate and stopping margin.,DEMO-EVID-30443 vehicle record: right subsystem is named; sensitivity appears after dust loading for DEMO-REQ-20443-1. Result supports a bounded claim; weak for an unconditional release statement for DEMO-REQ-20443-1.,0,0,0,1,0,0
DEMO-REQ-20331-3: predictive maintenance model shall allow remote product support to classify faults involving the wheel-drive vibration sensor before dispatching parts during customer-site troubleshooting. Acceptance DEMO-REQ-20331-3: fault context completeness and remote retrieval time.,DEMO-EVID-30331 implementation review: recorded thermal self-protection before the next dispatch command after high but normal payload variation against DEMO-REQ-20331-3. Engineering accepted the protective response; remote recovery timing for a separate check for DEMO-REQ-20331-3.,0,0,1,0,1,1
DEMO-REQ-20345-1: safe-stop controller must compare the previous and current acceptance records for the safe-stop controller for requirements revision review. Acceptance DEMO-REQ-20345-1: documented equivalence of the acceptance basis.,DEMO-EVID-30345 archive: old revision wording is present with a mapping note for DEMO-REQ-20345-1. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20345-1.,1,0,0,0,0,0
DEMO-REQ-20141-0: route-planning module must recalculate a haul segment after a temporary lane restriction for revised virtual lane boundary. Acceptance DEMO-REQ-20141-0: path refresh time and route acceptance.,Trial DEMO-EVID-30141 follows the requested signal path and then introduces payload variation for DEMO-REQ-20141-0. Measured margin moves close to the decision band but no hard stop occurs in the short observation window for DEMO-REQ-20141-0.,0,0,0,1,0,0
Verification item DEMO-REQ-20131-1: GNSS-denied localization module must allow remote product support to classify faults involving the localization reference unit before dispatching parts in customer-site troubleshooting. Review DEMO-REQ-20131-1: fault context completeness and remote retrieval time.,DEMO-EVID-30131 service note: function confirmed at the machine; technicians still need physical access to the localization reference unit for DEMO-REQ-20131-1. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20131-1.,0,0,1,0,1,1
Verification item DEMO-REQ-20150-0: route-planning module must keep the loaded vehicle inside the downhill speed envelope in long downhill grade with variable payload. Review DEMO-REQ-20150-0: speed overshoot and brake blending.,Design note DEMO-EVID-30150 shows that the route-planning module chooses a manual confirmation step before autonomous release when long downhill grade with variable payload is detected for DEMO-REQ-20150-0. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20150-0.,0,0,1,0,0,1
Customer constraint DEMO-REQ-20267-3: high-voltage battery pack shall limit cell-temperature spread during repeated haul cycles under alternating loaded and unloaded cycles. Evidence DEMO-REQ-20267-3: cell delta and balancing state.,Trial DEMO-EVID-30267 follows the requested signal path and then introduces payload variation for DEMO-REQ-20267-3. Measured margin moves close to the decision band but no hard stop occurs in the short observation window for DEMO-REQ-20267-3.,0,0,0,1,0,1
Release item DEMO-REQ-20234-2: remote diagnostic interface shall allow remote product support to classify faults involving the charger diagnostic data set before dispatching parts when customer-site troubleshooting is active. Review DEMO-REQ-20234-2: checks fault context completeness and remote retrieval time.,DEMO-EVID-30234 implementation review: recorded a conservative torque reduction until the warning clears after remote review of a normal completed charge against DEMO-REQ-20234-2. Engineering accepted the protective response; remote recovery timing for a separate check for DEMO-REQ-20234-2.,0,0,1,0,1,0
Verification item DEMO-REQ-20238-2: payload estimation system must enter a protective state when payload estimation system confidence is outside the release band in rough-road suspension movement. Review DEMO-REQ-20238-2: protective-state timing and restart permission.,Simulation file DEMO-EVID-30238 describes a local reset before remote tools can read the final status for the payload estimation system during rough-road suspension movement for DEMO-REQ-20238-2. Response protects the machine state but changes what downstream dispatch sees for DEMO-REQ-20238-2.,1,0,0,0,0,0
DEMO-REQ-20333-3: predictive maintenance model must retain the event log for the observed restriction in the predictive maintenance model for high but normal payload variation. Acceptance DEMO-REQ-20333-3: false-alert rate and operator acknowledgement.,Pilot log DEMO-EVID-30333 records a restricted machine state during high but normal payload variation for DEMO-REQ-20333-3. Event was captured with timestamps and recovery messages but the same note does not show that the recurrence mechanism has been removed for DEMO-REQ-20333-3.,1,0,0,0,0,1
DEMO-REQ-20363-0: lidar and radar fusion unit shall reject false berm reflections during autonomous reversing during low-speed reverse alignment. Acceptance DEMO-REQ-20363-0: false-positive rate and stopping margin.,DEMO-EVID-30363 campaign: shortened profile for reject false berm reflections during autonomous reversing in low-speed reverse alignment against DEMO-REQ-20363-0. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20363-0.,0,1,0,0,0,0
DEMO-REQ-20409-1: regenerative braking controller must allow remote product support to classify faults involving the brake-energy monitoring channel before dispatching parts for customer-site troubleshooting. Acceptance DEMO-REQ-20409-1: fault context completeness and remote retrieval time.,Field-support note DEMO-EVID-30409 says the deciding status can be read only after reaching the brake-energy monitoring channel for DEMO-REQ-20409-1. Remote logs contain the event time but not enough detail for parts selection for DEMO-REQ-20409-1.,0,0,1,0,1,1
Release item DEMO-REQ-20022-3: perception sensor cluster shall notify fleet supervision before perception sensor cluster behaviour reduces truck availability when production dispatch monitoring is active. Review DEMO-REQ-20022-3: checks alert lead time and event context.,DEMO-EVID-30022 QA note: positive result for detect a stationary service vehicle at the edge of the travel corridor during nominal apron visibility against DEMO-REQ-20022-3. Not evaluated: maintain object confidence while the cleaning cycle is active in wind-blown dust during shift change although the hardware configuration is otherwise comparable for DEMO-REQ-20022-3.,1,1,0,0,0,0
Release item DEMO-REQ-20461-1: predictive maintenance model shall notify fleet supervision before predictive maintenance model behaviour reduces truck availability when production dispatch monitoring is active. Review DEMO-REQ-20461-1: checks alert lead time and event context.,DEMO-EVID-30461 QA note: positive result for identify wheel-drive bearing drift before the inspection interval during slow vibration trend growth against DEMO-REQ-20461-1. Not evaluated: avoid nuisance alerts during normal payload variation in high but normal payload variation although the hardware configuration is otherwise comparable for DEMO-REQ-20461-1.,1,1,0,0,0,0
Verification item DEMO-REQ-20271-1: remote diagnostic interface must notify fleet supervision before remote diagnostic interface behaviour reduces truck availability in production dispatch monitoring. Review DEMO-REQ-20271-1: alert lead time and event context.,DEMO-EVID-30271 package: used the remote diagnostic interface setup for remote review of a normal completed charge and recorded stable message classification and access-control state against DEMO-REQ-20271-1. Open item: customer-site troubleshooting after a failed charge and the related retrieve charger fault context without opening a cabinet sequence for a later campaign for DEMO-REQ-20271-1.,1,1,0,0,0,1
DEMO-REQ-20475-3: payload estimation system shall confirm the payload class report during planned shift handover. Acceptance DEMO-REQ-20475-3: checks handover-screen visibility for the specified operating case.,DEMO-EVID-30475 release review entry: planned shift handover run captured the payload class report on the operator handover log for DEMO-REQ-20475-3. The operator screen and backend record showed the same final state for DEMO-REQ-20475-3. Reviewers kept the neighbouring degraded-mode ticket open while closing this limited item for DEMO-REQ-20475-3.,0,0,0,0,0,0
DEMO-REQ-20107-2: high-voltage battery pack shall allow field technicians to inspect or replace the field-replaceable battery module without unnecessary disassembly during planned customer-site service. Acceptance DEMO-REQ-20107-2: access time and diagnostic confidence.,DEMO-EVID-30107 bench record: one representative sequence for limit cell-temperature spread during repeated haul cycles during alternating loaded and unloaded cycles against DEMO-REQ-20107-2. It is useful for early comparison but does not repeat the full acceptance window for DEMO-REQ-20107-2.,1,0,0,0,1,0
Release item DEMO-REQ-20186-2: battery thermal management system shall allow remote product support to classify faults involving the coolant pump cartridge before dispatching parts when customer-site troubleshooting is active. Review DEMO-REQ-20186-2: checks fault context completeness and remote retrieval time.,Design note DEMO-EVID-30186 shows that the battery thermal management system chooses a conservative torque reduction until the warning clears when short dwell time between haul and charge is detected for DEMO-REQ-20186-2. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20186-2.,0,0,1,0,1,1
Customer constraint DEMO-REQ-20499-1: electric wheel drive shall notify fleet supervision before electric wheel drive behaviour reduces truck availability under production dispatch monitoring. Evidence DEMO-REQ-20499-1: alert lead time and event context.,DEMO-EVID-30499 evidence note: exercised separate sensor drift from actual overheating in diagnostics in sensor trend disagreement across a shift; fault-code separation and technician interpretation stayed within the review window against DEMO-REQ-20499-1. Scope note: continued loaded haul at reduced torque and maintain propulsion availability after a temperature warning were not part of this run for DEMO-REQ-20499-1.,1,1,0,0,0,1
DEMO-REQ-20471-3: charging station handshake module must notify fleet supervision before charging station handshake module behaviour reduces truck availability for production dispatch monitoring. Acceptance DEMO-REQ-20471-3: alert lead time and event context.,DEMO-EVID-30471 QA note: positive result for inform dispatch when station authorization is delayed during temporary station queue delay against DEMO-REQ-20471-3. Not evaluated: exchange charging limits before current ramp-up in standard charging-bay communication although the hardware configuration is otherwise comparable for DEMO-REQ-20471-3.,1,1,0,0,0,0
DEMO-REQ-20248-3: traction inverter shall report early thermal margin loss before torque reduction during repeated low-speed ramp starts. Acceptance DEMO-REQ-20248-3: warning lead time and derating transition.,DEMO-EVID-30248 package: used the traction inverter setup for repeated low-speed ramp starts and recorded stable warning lead time and derating transition against DEMO-REQ-20248-3. Open item: loaded launch on a moderate grade and the related track torque command during loaded ramp launch sequence for a later campaign for DEMO-REQ-20248-3.,0,0,0,1,0,1
Verification item DEMO-REQ-20438-2: service access panel layout must inspect the cooling-pump strainer without removing the rear guard in scheduled field inspection. Review DEMO-REQ-20438-2: tool access path and inspection duration.,DEMO-EVID-30438 vehicle record: right subsystem is named; sensitivity appears after repeated load cycles for DEMO-REQ-20438-2. Result supports a bounded claim; weak for an unconditional release statement for DEMO-REQ-20438-2.,0,0,0,0,1,0
Release item DEMO-REQ-20258-2: electric wheel drive shall allow field technicians to inspect or replace the wheel-drive temperature sensor without unnecessary disassembly when planned customer-site service is active. Review DEMO-REQ-20258-2: checks access time and diagnostic confidence.,DEMO-EVID-30258 archive: old revision wording is present with a mapping note for DEMO-REQ-20258-2. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20258-2.,1,0,0,0,1,0
Release item DEMO-REQ-20126-0: battery thermal management system shall complete two uphill loaded cycles without thermal power reduction when high ambient temperature with full payload is active. Review DEMO-REQ-20126-0: checks coolant temperature and derating state.,Assessment DEMO-EVID-30126 reports stable behaviour first and reduced margin after repeated load cycles for DEMO-REQ-20126-0. Reviewers noted that the finding matters only when the requirement relies on that operating condition for DEMO-REQ-20126-0.,0,0,0,1,0,1
DEMO-REQ-20104-2: GNSS-denied localization module shall notify fleet supervision before GNSS-denied localization module behaviour reduces truck availability during production dispatch monitoring. Acceptance DEMO-REQ-20104-2: alert lead time and event context.,DEMO-EVID-30104 package: used the GNSS-denied localization module setup for transition back to open-sky operation and recorded stable reacquisition time and route-latch behaviour against DEMO-REQ-20104-2. Open item: covered crusher approach and the related maintain pose quality without satellite reference sequence for a later campaign for DEMO-REQ-20104-2.,1,1,0,0,0,1
DEMO-REQ-20001-0: route-planning module must enter a protective state when route-planning module confidence is outside the release band for long downhill grade with variable payload. Acceptance DEMO-REQ-20001-0: protective-state timing and restart permission.,DEMO-EVID-30001 implementation review: recorded a cleaning sequence that pauses part of the active view after long downhill grade with variable payload against DEMO-REQ-20001-0. Engineering accepted the protective response; remote recovery timing for a separate check for DEMO-REQ-20001-0.,0,0,0,0,0,1
Release item DEMO-REQ-20065-3: safe-stop controller shall allow remote product support to classify faults involving the safe-stop input module before dispatching parts when customer-site troubleshooting is active. Review DEMO-REQ-20065-3: checks fault context completeness and remote retrieval time.,DEMO-EVID-30065 service note: function confirmed at the machine; technicians still need physical access to the safe-stop input module for DEMO-REQ-20065-3. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20065-3.,0,0,1,0,1,1
Customer constraint DEMO-REQ-20149-0: regenerative braking controller shall detect and report the observed restriction in the regenerative braking controller under high state of charge near the dump point. Evidence DEMO-REQ-20149-0: regen limit request and fallback timing.,Commissioning note DEMO-EVID-30149 shows the regenerative braking controller entered a restricted state during high state of charge near the dump point for DEMO-REQ-20149-0. Event log is complete enough for diagnosis but the behaviour remains undesirable for production flow for DEMO-REQ-20149-0.,0,0,0,1,0,1
DEMO-REQ-20174-2: remote diagnostic interface shall allow workshop technicians to service the charger diagnostic data set during scheduled overhaul during planned workshop maintenance. Acceptance DEMO-REQ-20174-2: safe isolation and documented work sequence.,Service trial DEMO-EVID-30174 completed safely with the charger diagnostic data set for DEMO-REQ-20174-2. It required a guarded access step and the diagnostic wording did not separate configuration error from hardware replacement for DEMO-REQ-20174-2.,0,0,0,0,1,0
Release item DEMO-REQ-20367-0: high-voltage battery pack shall detect and report the observed restriction in the high-voltage battery pack when planned field-service replacement is active. Review DEMO-REQ-20367-0: checks isolation confirmation and module access time.,Pilot log DEMO-EVID-30367 records a restricted machine state during planned field-service replacement for DEMO-REQ-20367-0. Event was captured with timestamps and recovery messages but the same note does not show that the recurrence mechanism has been removed for DEMO-REQ-20367-0.,0,0,0,1,0,1
Customer constraint DEMO-REQ-20327-0: high-voltage battery pack shall limit cell-temperature spread during repeated haul cycles under alternating loaded and unloaded cycles. Evidence DEMO-REQ-20327-0: cell delta and balancing state.,DEMO-EVID-30327 report: earlier review ID is named; cross-reference added for DEMO-REQ-20327-0. Run content appears to use the same operating case as the current record for DEMO-REQ-20327-0.,0,0,0,0,1,1
Verification item DEMO-REQ-20043-1: lidar and radar fusion unit must reject false berm reflections during autonomous reversing in low-speed reverse alignment. Review DEMO-REQ-20043-1: false-positive rate and stopping margin.,Trial DEMO-EVID-30043 follows the requested signal path and then introduces haul-road vibration for DEMO-REQ-20043-1. Measured margin moves close to the decision band but no hard stop occurs in the short observation window for DEMO-REQ-20043-1.,0,0,0,1,0,1
DEMO-REQ-20119-0: electric wheel drive must maintain propulsion availability after a temperature warning for continued loaded haul at reduced torque. Acceptance DEMO-REQ-20119-0: available torque and fault escalation.,DEMO-EVID-30119 package: used the electric wheel drive setup for continued loaded haul at reduced torque and recorded stable available torque and fault escalation against DEMO-REQ-20119-0. Open item: sensor trend disagreement across a shift and the related separate sensor drift from actual overheating in diagnostics sequence for a later campaign for DEMO-REQ-20119-0.,0,0,0,1,0,0
Verification item DEMO-REQ-20354-0: remote diagnostic interface must notify fleet supervision before remote diagnostic interface behaviour reduces truck availability in production dispatch monitoring. Review DEMO-REQ-20354-0: alert lead time and event context.,DEMO-EVID-30354 evidence note: exercised retrieve charger fault context without opening a cabinet in customer-site troubleshooting after a failed charge; available fault fields and retrieval time stayed within the review window against DEMO-REQ-20354-0. Scope note: remote review of a normal completed charge and separate customer-visible messages from engineering-only diagnostic fields were not part of this run for DEMO-REQ-20354-0.,1,1,0,0,0,0
DEMO-REQ-20038-0: high-voltage battery pack shall detect and report the observed restriction in the high-voltage battery pack during planned field-service replacement. Acceptance DEMO-REQ-20038-0: isolation confirmation and module access time.,Commissioning note DEMO-EVID-30038 shows the high-voltage battery pack entered a restricted state during planned field-service replacement for DEMO-REQ-20038-0. Event log is complete enough for diagnosis but the behaviour remains undesirable for production flow for DEMO-REQ-20038-0.,0,0,0,1,0,0
DEMO-REQ-20002-3: safe-stop controller shall report the safe-stop completion event during regular service interval. Acceptance DEMO-REQ-20002-3: checks signal timing and recorded state alignment.,DEMO-EVID-30002 commissioning note: regular service interval run captured the safe-stop completion event on the event review tool for DEMO-REQ-20002-3. Recorded state changes matched the requested sequence for DEMO-REQ-20002-3. Cold-start behavior was not part of this record and is tracked under a separate demo item for DEMO-REQ-20002-3.,0,0,0,0,0,0
DEMO-REQ-20120-1: autonomous haulage controller must hold route accuracy through a loading-zone transition for dust at the loading berm. Acceptance DEMO-REQ-20120-1: route deviation and command continuity.,DEMO-EVID-30120 evidence note: exercised recover after a temporary forward-sensor obstruction in single-channel perception masking; crawl authorization and handover state stayed within the review window against DEMO-REQ-20120-1. Scope note: dust at the loading berm and hold route accuracy through a loading-zone transition were not part of this run for DEMO-REQ-20120-1.,1,1,0,1,0,0
