text,text_pair
DEMO-REQ-20343-3: camera cleaning system shall display the wash command acknowledgement during standard vibration profile. Acceptance DEMO-REQ-20343-3: checks recorded value stability during the requested window.,DEMO-EVID-30343 validation memo: standard vibration profile run captured the wash command acknowledgement on the maintenance display for DEMO-REQ-20343-3. Reviewers closed the observation after comparing the requested case with the captured run for DEMO-REQ-20343-3. Aborted sessions were excluded because the requirement names only the nominal stop case for DEMO-REQ-20343-3.
Verification item DEMO-REQ-20421-0: route-planning module must notify fleet supervision before route-planning module behaviour reduces truck availability in production dispatch monitoring. Review DEMO-REQ-20421-0: alert lead time and event context.,DEMO-EVID-30421 package: used the route-planning module setup for revised virtual lane boundary and recorded stable path refresh time and route acceptance against DEMO-REQ-20421-0. Open item: long downhill grade with variable payload and the related keep the loaded vehicle inside the downhill speed envelope sequence for a later campaign for DEMO-REQ-20421-0.
Customer constraint DEMO-REQ-20066-0: payload estimation system shall avoid false overload messages during short suspension oscillations under rough-road suspension movement. Evidence DEMO-REQ-20066-0: overload message persistence and event filtering.,DEMO-EVID-30066 evidence note: exercised update energy forecast after payload is measured at loading in loaded departure from the shovel area; energy forecast error and payload timestamp stayed within the review window against DEMO-REQ-20066-0. Scope note: rough-road suspension movement and avoid false overload messages during short suspension oscillations were not part of this run for DEMO-REQ-20066-0.
DEMO-REQ-20221-2: factory acceptance test station must allow field technicians to inspect or replace the production test adapter without unnecessary disassembly for planned customer-site service. Acceptance DEMO-REQ-20221-2: access time and diagnostic confidence.,Service trial DEMO-EVID-30221 completed safely with the production test adapter for DEMO-REQ-20221-2. It required a guarded access step and the diagnostic wording did not separate configuration error from hardware replacement for DEMO-REQ-20221-2.
Customer constraint DEMO-REQ-20021-1: route-planning module shall recalculate a haul segment after a temporary lane restriction under revised virtual lane boundary. Evidence DEMO-REQ-20021-1: path refresh time and route acceptance.,DEMO-EVID-30021 archive: old revision wording is present with a mapping note for DEMO-REQ-20021-1. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20021-1.
Verification item DEMO-REQ-20055-2: service access panel layout must avoid contact with high-voltage covers during routine inspection in routine low-voltage service walkdown. Review DEMO-REQ-20055-2: clearance marking and cover separation.,Design note DEMO-EVID-30055 shows that the service access panel layout chooses a controlled full stop before restart authorization when routine low-voltage service walkdown is detected for DEMO-REQ-20055-2. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20055-2.
DEMO-REQ-20168-1: traction inverter shall track torque command during loaded ramp launch during loaded launch on a moderate grade. Acceptance DEMO-REQ-20168-1: torque error and current-limit behaviour.,DEMO-EVID-30168 QA note: positive result for report early thermal margin loss before torque reduction during repeated low-speed ramp starts against DEMO-REQ-20168-1. Not evaluated: track torque command during loaded ramp launch in loaded launch on a moderate grade although the hardware configuration is otherwise comparable for DEMO-REQ-20168-1.
Verification item DEMO-REQ-20202-1: fleet telemetry gateway must notify fleet supervision before fleet telemetry gateway behaviour reduces truck availability in production dispatch monitoring. Review DEMO-REQ-20202-1: alert lead time and event context.,DEMO-EVID-30202 evidence note: exercised raise an early alert before cooling degradation causes derating in progressive pump efficiency loss; alert lead time and fault progression stayed within the review window against DEMO-REQ-20202-1. Scope note: remote service review after a shift and preserve event history after a remote diagnostic session were not part of this run for DEMO-REQ-20202-1.
Verification item DEMO-REQ-20372-0: fleet telemetry gateway must raise an early alert before cooling degradation causes derating in progressive pump efficiency loss. Review DEMO-REQ-20372-0: alert lead time and fault progression.,DEMO-EVID-30372 evidence note: exercised raise an early alert before cooling degradation causes derating in progressive pump efficiency loss; alert lead time and fault progression stayed within the review window against DEMO-REQ-20372-0. Scope note: remote service review after a shift and preserve event history after a remote diagnostic session were not part of this run for DEMO-REQ-20372-0.
Verification item DEMO-REQ-20017-1: software update manager must notify fleet supervision before software update manager behaviour reduces truck availability in production dispatch monitoring. Review DEMO-REQ-20017-1: alert lead time and event context.,DEMO-EVID-30017 QA note: positive result for roll back an autonomous-control package after unsuccessful deployment during interrupted over-the-air update against DEMO-REQ-20017-1. Not evaluated: keep calibration identifiers aligned across perception and planning modules in mixed-module software staging although the hardware configuration is otherwise comparable for DEMO-REQ-20017-1.
DEMO-REQ-20324-2: perception sensor cluster must allow workshop technicians to service the sensor-cleaning nozzle block during scheduled overhaul for planned workshop maintenance. Acceptance DEMO-REQ-20324-2: safe isolation and documented work sequence.,DEMO-EVID-30324 service note: function confirmed at the machine; technicians still need physical access to the sensor-cleaning nozzle block for DEMO-REQ-20324-2. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20324-2.
Release item DEMO-REQ-20030-1: megawatt charging interface shall complete a normal charging handshake at depot temperature when nominal depot temperature is active. Review DEMO-REQ-20030-1: checks handshake sequence and isolation confirmation.,DEMO-EVID-30030 report: earlier review ID is named; cross-reference added for DEMO-REQ-20030-1. Run content appears to use the same operating case as the current record for DEMO-REQ-20030-1.
Release item DEMO-REQ-20282-3: perception sensor cluster shall retain the event log for the observed restriction in the perception sensor cluster when wind-blown dust during shift change is active. Review DEMO-REQ-20282-3: checks temporary blind-zone duration.,Commissioning note DEMO-EVID-30282 shows the perception sensor cluster entered a restricted state during wind-blown dust during shift change for DEMO-REQ-20282-3. Event log is complete enough for diagnosis but the behaviour remains undesirable for production flow for DEMO-REQ-20282-3.
Release item DEMO-REQ-20105-0: safe-stop controller shall notify fleet supervision before safe-stop controller behaviour reduces truck availability when production dispatch monitoring is active. Review DEMO-REQ-20105-0: checks alert lead time and event context.,DEMO-EVID-30105 evidence note: exercised continue at limited crawl after a non-critical perception warning in single-channel perception degradation; crawl authorization and remote-supervision state stayed within the review window against DEMO-REQ-20105-0. Scope note: personnel-zone warning input and bring the truck to a controlled stop after an exclusion-zone warning were not part of this run for DEMO-REQ-20105-0.
Verification item DEMO-REQ-20200-0: safe-stop controller must allow field technicians to inspect or replace the safe-stop input module without unnecessary disassembly in planned customer-site service. Review DEMO-REQ-20200-0: access time and diagnostic confidence.,DEMO-EVID-30200 screen: exercised bring the truck to a controlled stop after an exclusion-zone warning under personnel-zone warning input; no anomaly logged against DEMO-REQ-20200-0. Reviewer note: the duration was intentionally reduced to protect prototype availability for DEMO-REQ-20200-0.
Customer constraint DEMO-REQ-20434-2: predictive maintenance model shall notify fleet supervision before predictive maintenance model behaviour reduces truck availability under production dispatch monitoring. Evidence DEMO-REQ-20434-2: alert lead time and event context.,DEMO-EVID-30434 QA note: positive result for identify wheel-drive bearing drift before the inspection interval during slow vibration trend growth against DEMO-REQ-20434-2. Not evaluated: avoid nuisance alerts during normal payload variation in high but normal payload variation although the hardware configuration is otherwise comparable for DEMO-REQ-20434-2.
DEMO-REQ-20318-2: GNSS-denied localization module shall publish the localization quality value during standard payload class. Acceptance DEMO-REQ-20318-2: checks repeatability across the agreed demonstration sequence.,DEMO-EVID-30318 supplier-quality screen: standard payload class run captured the localization quality value on the fleet monitor for DEMO-REQ-20318-2. Dashboard values matched the archived vehicle stream for DEMO-REQ-20318-2. Higher payload classes remain outside this acceptance check by design for DEMO-REQ-20318-2.
Release item DEMO-REQ-20008-0: route-planning module shall recalculate a haul segment after a temporary lane restriction when revised virtual lane boundary is active. Review DEMO-REQ-20008-0: checks path refresh time and route acceptance.,Trial DEMO-EVID-30008 follows the requested signal path and then introduces repeated load cycles for DEMO-REQ-20008-0. Measured margin moves close to the decision band but no hard stop occurs in the short observation window for DEMO-REQ-20008-0.
Verification item DEMO-REQ-20302-0: route-planning module must notify fleet supervision before route-planning module behaviour reduces truck availability in production dispatch monitoring. Review DEMO-REQ-20302-0: alert lead time and event context.,DEMO-EVID-30302 package: used the route-planning module setup for long downhill grade with variable payload and recorded stable speed overshoot and brake blending against DEMO-REQ-20302-0. Open item: revised virtual lane boundary and the related recalculate a haul segment after a temporary lane restriction sequence for a later campaign for DEMO-REQ-20302-0.
Release item DEMO-REQ-20181-3: route-planning module shall allow remote product support to classify faults involving the route configuration package before dispatching parts when customer-site troubleshooting is active. Review DEMO-REQ-20181-3: checks fault context completeness and remote retrieval time.,DEMO-EVID-30181 service note: function confirmed at the machine; technicians still need physical access to the route configuration package for DEMO-REQ-20181-3. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20181-3.
Verification item DEMO-REQ-20125-3: safe-stop controller must bring the truck to a controlled stop after an exclusion-zone warning in personnel-zone warning input. Review DEMO-REQ-20125-3: stop distance and brake-command agreement.,DEMO-EVID-30125 campaign: shortened profile for bring the truck to a controlled stop after an exclusion-zone warning in personnel-zone warning input against DEMO-REQ-20125-3. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20125-3.
Customer constraint DEMO-REQ-20160-0: autonomous haulage controller shall allow workshop technicians to service the front perception pod during scheduled overhaul under planned workshop maintenance. Evidence DEMO-REQ-20160-0: safe isolation and documented work sequence.,Field-support note DEMO-EVID-30160 says the deciding status can be read only after reaching the front perception pod for DEMO-REQ-20160-0. Remote logs contain the event time but not enough detail for parts selection for DEMO-REQ-20160-0.
Customer constraint DEMO-REQ-20447-3: high-voltage battery pack shall allow field replacement of one battery module without pack removal under planned field-service replacement. Evidence DEMO-REQ-20447-3: isolation confirmation and module access time.,DEMO-EVID-30447 package: used the high-voltage battery pack setup for alternating loaded and unloaded cycles and recorded stable cell delta and balancing state against DEMO-REQ-20447-3. Open item: planned field-service replacement and the related allow field replacement of one battery module without pack removal sequence for a later campaign for DEMO-REQ-20447-3.
Customer constraint DEMO-REQ-20043-0: lidar and radar fusion unit shall reject false berm reflections during autonomous reversing under low-speed reverse alignment. Evidence DEMO-REQ-20043-0: false-positive rate and stopping margin.,Assessment DEMO-EVID-30043 reports stable behaviour first and reduced margin after dust loading for DEMO-REQ-20043-0. Reviewers noted that the finding matters only when the requirement relies on that operating condition for DEMO-REQ-20043-0.
Release item DEMO-REQ-20433-3: predictive maintenance model shall avoid nuisance alerts during normal payload variation when high but normal payload variation is active. Review DEMO-REQ-20433-3: checks false-alert rate and operator acknowledgement.,DEMO-EVID-30433 evidence note: exercised avoid nuisance alerts during normal payload variation in high but normal payload variation; false-alert rate and operator acknowledgement stayed within the review window against DEMO-REQ-20433-3. Scope note: slow vibration trend growth and identify wheel-drive bearing drift before the inspection interval were not part of this run for DEMO-REQ-20433-3.
DEMO-REQ-20132-3: high-voltage battery pack must limit cell-temperature spread during repeated haul cycles for alternating loaded and unloaded cycles. Acceptance DEMO-REQ-20132-3: cell delta and balancing state.,DEMO-EVID-30132 bench record: one representative sequence for limit cell-temperature spread during repeated haul cycles during alternating loaded and unloaded cycles against DEMO-REQ-20132-3. It is useful for early comparison but does not repeat the full acceptance window for DEMO-REQ-20132-3.
DEMO-REQ-20230-0: fleet telemetry gateway shall allow field technicians to inspect or replace the remote diagnostic interface without unnecessary disassembly during planned customer-site service. Acceptance DEMO-REQ-20230-0: access time and diagnostic confidence.,DEMO-EVID-30230 package: used the fleet telemetry gateway setup for remote service review after a shift and recorded stable log completeness and upload confirmation against DEMO-REQ-20230-0. Open item: progressive pump efficiency loss and the related raise an early alert before cooling degradation causes derating sequence for a later campaign for DEMO-REQ-20230-0.
DEMO-REQ-20250-3: payload estimation system shall acknowledge the payload class report during planned shift handover. Acceptance DEMO-REQ-20250-3: checks dashboard agreement with the controller log.,DEMO-EVID-30250 FAT record: planned shift handover run captured the payload class report on the operator handover log for DEMO-REQ-20250-3. The station and vehicle traces ended with the same accepted status for DEMO-REQ-20250-3. Mud spray was noted in the logbook but did not enter this requested checkout for DEMO-REQ-20250-3.
Verification item DEMO-REQ-20077-1: software update manager must roll back an autonomous-control package after unsuccessful deployment in interrupted over-the-air update. Review DEMO-REQ-20077-1: rollback completion and restart state.,DEMO-EVID-30077 vehicle record: right subsystem is named; sensitivity appears after thermal cycling for DEMO-REQ-20077-1. Result supports a bounded claim; weak for an unconditional release statement for DEMO-REQ-20077-1.
Customer constraint DEMO-REQ-20207-2: high-voltage battery pack shall allow field technicians to inspect or replace the field-replaceable battery module without unnecessary disassembly under planned customer-site service. Evidence DEMO-REQ-20207-2: access time and diagnostic confidence.,DEMO-EVID-30207 QA note: positive result for allow field replacement of one battery module without pack removal during planned field-service replacement against DEMO-REQ-20207-2. Not evaluated: limit cell-temperature spread during repeated haul cycles in alternating loaded and unloaded cycles although the hardware configuration is otherwise comparable for DEMO-REQ-20207-2.
DEMO-REQ-20030-3: megawatt charging interface must allow field technicians to inspect or replace the charging connector latch without unnecessary disassembly for planned customer-site service. Acceptance DEMO-REQ-20030-3: access time and diagnostic confidence.,DEMO-EVID-30030 archive: old revision wording is present with a mapping note for DEMO-REQ-20030-3. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20030-3.
DEMO-REQ-20107-0: high-voltage battery pack shall limit cell-temperature spread during repeated haul cycles during alternating loaded and unloaded cycles. Acceptance DEMO-REQ-20107-0: cell delta and balancing state.,DEMO-EVID-30107 bench record: one representative sequence for limit cell-temperature spread during repeated haul cycles during alternating loaded and unloaded cycles against DEMO-REQ-20107-0. It is useful for early comparison but does not repeat the full acceptance window for DEMO-REQ-20107-0.
DEMO-REQ-20330-2: safe-stop controller shall store the safe-stop completion event during regular service interval. Acceptance DEMO-REQ-20330-2: checks station log alignment with the vehicle event stream.,DEMO-EVID-30330 field support note: regular service interval run captured the safe-stop completion event on the event review tool for DEMO-REQ-20330-2. The replayed vehicle log followed the acceptance sequence without manual correction for DEMO-REQ-20330-2. Service-panel removal was not exercised because no access task is required by the item for DEMO-REQ-20330-2.
DEMO-REQ-20176-3: factory acceptance test station must verify software configuration before the truck leaves production for end-of-line production test. Acceptance DEMO-REQ-20176-3: configuration hash and test record linkage.,Assessment DEMO-EVID-30176 reports stable behaviour first and reduced margin after cold soak for DEMO-REQ-20176-3. Reviewers noted that the finding matters only when the requirement relies on that operating condition for DEMO-REQ-20176-3.
DEMO-REQ-20134-3: remote diagnostic interface shall retrieve charger fault context without opening a cabinet during customer-site troubleshooting after a failed charge. Acceptance DEMO-REQ-20134-3: available fault fields and retrieval time.,DEMO-EVID-30134 vehicle record: right subsystem is named; sensitivity appears after charging-bay humidity for DEMO-REQ-20134-3. Result supports a bounded claim; weak for an unconditional release statement for DEMO-REQ-20134-3.
Customer constraint DEMO-REQ-20406-3: battery thermal management system shall allow remote product support to classify faults involving the coolant pump cartridge before dispatching parts under customer-site troubleshooting. Evidence DEMO-REQ-20406-3: fault context completeness and remote retrieval time.,Design note DEMO-EVID-30406 shows that the battery thermal management system chooses a manual confirmation step before autonomous release when short dwell time between haul and charge is detected for DEMO-REQ-20406-3. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20406-3.
DEMO-REQ-20350-1: megawatt charging interface shall detect and report the observed restriction in the megawatt charging interface during interrupted charging after connector temperature warning. Acceptance DEMO-REQ-20350-1: reconnect timing and technician handling state.,DEMO-EVID-30350 field log: repeatable restriction recorded in interrupted charging after connector temperature warning against DEMO-REQ-20350-1. Telemetry preserved the event sequence and dispatch delay; the record is outside some neighbouring acceptance cases for DEMO-REQ-20350-1.
DEMO-REQ-20164-2: GNSS-denied localization module must allow workshop technicians to service the localization reference unit during scheduled overhaul for planned workshop maintenance. Acceptance DEMO-REQ-20164-2: safe isolation and documented work sequence.,DEMO-EVID-30164 service note: function confirmed at the machine; technicians still need physical access to the localization reference unit for DEMO-REQ-20164-2. Workshop path is acceptable; slow for roadside troubleshooting for DEMO-REQ-20164-2.
Verification item DEMO-REQ-20268-2: traction inverter must report early thermal margin loss before torque reduction in repeated low-speed ramp starts. Review DEMO-REQ-20268-2: warning lead time and derating transition.,Design note DEMO-EVID-30268 shows that the traction inverter chooses a cleaning sequence that pauses part of the active view when repeated low-speed ramp starts is detected for DEMO-REQ-20268-2. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20268-2.
Customer constraint DEMO-REQ-20383-2: lidar and radar fusion unit shall reject false berm reflections during autonomous reversing under low-speed reverse alignment. Evidence DEMO-REQ-20383-2: false-positive rate and stopping margin.,Assessment DEMO-EVID-30383 reports stable behaviour first and reduced margin after thermal cycling for DEMO-REQ-20383-2. Reviewers noted that the finding matters only when the requirement relies on that operating condition for DEMO-REQ-20383-2.
DEMO-REQ-20040-2: battery thermal controller shall retain the coolant temperature status during clear visibility checkout. Acceptance DEMO-REQ-20040-2: checks that the reviewed case stays within the documented release envelope.,DEMO-EVID-30040 engineering sign-off note: clear visibility checkout run captured the coolant temperature status on the thermal trend view for DEMO-REQ-20040-2. Timestamps aligned with the controller log at each review point for DEMO-REQ-20040-2. A longer endurance run is planned elsewhere and is not needed for this acceptance line for DEMO-REQ-20040-2.
DEMO-REQ-20432-1: megawatt charging interface must detect and report the observed restriction in the megawatt charging interface for interrupted charging after connector temperature warning. Acceptance DEMO-REQ-20432-1: reconnect timing and technician handling state.,Commissioning note DEMO-EVID-30432 shows the megawatt charging interface entered a restricted state during interrupted charging after connector temperature warning for DEMO-REQ-20432-1. Event log is complete enough for diagnosis but the behaviour remains undesirable for production flow for DEMO-REQ-20432-1.
DEMO-REQ-20394-3: remote diagnostic interface must allow remote product support to classify faults involving the charger diagnostic data set before dispatching parts for customer-site troubleshooting. Acceptance DEMO-REQ-20394-3: fault context completeness and remote retrieval time.,Design note DEMO-EVID-30394 shows that the remote diagnostic interface chooses a local reset before remote tools can read the final status when remote review of a normal completed charge is detected for DEMO-REQ-20394-3. Sequence was repeatable in the lab and the note excludes extended production dispatch trials for DEMO-REQ-20394-3.
Verification item DEMO-REQ-20313-1: predictive maintenance model must avoid nuisance alerts during normal payload variation in high but normal payload variation. Review DEMO-REQ-20313-1: false-alert rate and operator acknowledgement.,DEMO-EVID-30313 evidence note: exercised identify wheel-drive bearing drift before the inspection interval in slow vibration trend growth; lead time and confirmed work-order relevance stayed within the review window against DEMO-REQ-20313-1. Scope note: high but normal payload variation and avoid nuisance alerts during normal payload variation were not part of this run for DEMO-REQ-20313-1.
DEMO-REQ-20268-3: high-voltage battery pack shall synchronize the pack readiness state during routine wash-bay cycle. Acceptance DEMO-REQ-20268-3: checks state transition order and timestamp continuity.,DEMO-EVID-30268 QA review: routine wash-bay cycle run captured the pack readiness state on the battery dashboard for DEMO-REQ-20268-3. The checked signal stayed within the agreed tolerance for the whole requested window for DEMO-REQ-20268-3. The charger-side alarm list was copied for information only and did not change the pass decision for DEMO-REQ-20268-3.
Customer constraint DEMO-REQ-20334-2: remote diagnostic interface shall notify fleet supervision before remote diagnostic interface behaviour reduces truck availability under production dispatch monitoring. Evidence DEMO-REQ-20334-2: alert lead time and event context.,DEMO-EVID-30334 package: used the remote diagnostic interface setup for remote review of a normal completed charge and recorded stable message classification and access-control state against DEMO-REQ-20334-2. Open item: customer-site troubleshooting after a failed charge and the related retrieve charger fault context without opening a cabinet sequence for a later campaign for DEMO-REQ-20334-2.
Verification item DEMO-REQ-20073-3: predictive maintenance model must allow field technicians to inspect or replace the wheel-drive vibration sensor without unnecessary disassembly in planned customer-site service. Review DEMO-REQ-20073-3: access time and diagnostic confidence.,DEMO-EVID-30073 campaign: shortened profile for identify wheel-drive bearing drift before the inspection interval in slow vibration trend growth against DEMO-REQ-20073-3. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20073-3.
Release item DEMO-REQ-20417-0: charging station handshake module shall exchange charging limits before current ramp-up when standard charging-bay communication is active. Review DEMO-REQ-20417-0: checks message order and limit agreement.,DEMO-EVID-30417 screen: exercised exchange charging limits before current ramp-up under standard charging-bay communication; no anomaly logged against DEMO-REQ-20417-0. Reviewer note: the duration was intentionally reduced to protect prototype availability for DEMO-REQ-20417-0.
DEMO-REQ-20344-1: payload estimation system shall update energy forecast after payload is measured at loading during loaded departure from the shovel area. Acceptance DEMO-REQ-20344-1: energy forecast error and payload timestamp.,DEMO-EVID-30344 campaign: shortened profile for update energy forecast after payload is measured at loading in loaded departure from the shovel area against DEMO-REQ-20344-1. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20344-1.
Release item DEMO-REQ-20348-3: traction inverter shall notify fleet supervision before traction inverter behaviour reduces truck availability when production dispatch monitoring is active. Review DEMO-REQ-20348-3: checks alert lead time and event context.,Trial DEMO-EVID-30348 follows the requested signal path and then introduces grade change for DEMO-REQ-20348-3. Measured margin moves close to the decision band but no hard stop occurs in the short observation window for DEMO-REQ-20348-3.
DEMO-REQ-20013-1: predictive maintenance model shall allow field technicians to inspect or replace the wheel-drive vibration sensor without unnecessary disassembly during planned customer-site service. Acceptance DEMO-REQ-20013-1: access time and diagnostic confidence.,DEMO-EVID-30013 screen: exercised identify wheel-drive bearing drift before the inspection interval under slow vibration trend growth; no anomaly logged against DEMO-REQ-20013-1. Reviewer note: the duration was intentionally reduced to protect prototype availability for DEMO-REQ-20013-1.
Customer constraint DEMO-REQ-20121-3: route-planning module shall recalculate a haul segment after a temporary lane restriction under revised virtual lane boundary. Evidence DEMO-REQ-20121-3: path refresh time and route acceptance.,DEMO-EVID-30121 campaign: shortened profile for recalculate a haul segment after a temporary lane restriction in revised virtual lane boundary against DEMO-REQ-20121-3. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20121-3.
DEMO-REQ-20132-0: high-voltage battery pack must limit cell-temperature spread during repeated haul cycles for alternating loaded and unloaded cycles. Acceptance DEMO-REQ-20132-0: cell delta and balancing state.,DEMO-EVID-30132 bench record: one representative sequence for limit cell-temperature spread during repeated haul cycles during alternating loaded and unloaded cycles against DEMO-REQ-20132-0. It is useful for early comparison but does not repeat the full acceptance window for DEMO-REQ-20132-0.
Customer constraint DEMO-REQ-20266-2: GNSS-denied localization module shall resume map alignment after leaving a covered approach under transition back to open-sky operation. Evidence DEMO-REQ-20266-2: reacquisition time and route-latch behaviour.,DEMO-EVID-30266 package: used the GNSS-denied localization module setup for transition back to open-sky operation and recorded stable reacquisition time and route-latch behaviour against DEMO-REQ-20266-2. Open item: covered crusher approach and the related maintain pose quality without satellite reference sequence for a later campaign for DEMO-REQ-20266-2.
DEMO-REQ-20493-0: traction inverter shall confirm the torque derate flag during factory acceptance lane. Acceptance DEMO-REQ-20493-0: checks handover-screen visibility for the specified operating case.,DEMO-EVID-30493 release review entry: factory acceptance lane run captured the torque derate flag on the drive-system log for DEMO-REQ-20493-0. The operator screen and backend record showed the same final state for DEMO-REQ-20493-0. Reviewers kept the neighbouring degraded-mode ticket open while closing this limited item for DEMO-REQ-20493-0.
Verification item DEMO-REQ-20092-3: fleet telemetry gateway must allow workshop technicians to service the remote diagnostic interface during scheduled overhaul in planned workshop maintenance. Review DEMO-REQ-20092-3: safe isolation and documented work sequence.,Service trial DEMO-EVID-30092 completed safely with the remote diagnostic interface for DEMO-REQ-20092-3. It required a guarded access step and the diagnostic wording did not separate configuration error from hardware replacement for DEMO-REQ-20092-3.
Customer constraint DEMO-REQ-20042-0: remote diagnostic interface shall allow field technicians to inspect or replace the charger diagnostic data set without unnecessary disassembly under planned customer-site service. Evidence DEMO-REQ-20042-0: access time and diagnostic confidence.,DEMO-EVID-30042 campaign: shortened profile for retrieve charger fault context without opening a cabinet in customer-site troubleshooting after a failed charge against DEMO-REQ-20042-0. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20042-0.
Verification item DEMO-REQ-20365-3: autonomous haulage controller must enter a protective state when autonomous haulage controller confidence is outside the release band in single-channel perception masking. Review DEMO-REQ-20365-3: protective-state timing and restart permission.,Simulation file DEMO-EVID-30365 describes a manual confirmation step before autonomous release for the autonomous haulage controller during single-channel perception masking for DEMO-REQ-20365-3. Response protects the machine state but changes what downstream dispatch sees for DEMO-REQ-20365-3.
